Year,Cause of Death,State,State FIPS Code,HHS Region,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths
2005,Heart Disease,Vermont,VT,1,0-54,Floating,All,78,465112,77,1
2005,Heart Disease,Wyoming,WY,8,0-54,Floating,All,90,393845,62,28
2005,Heart Disease,North Dakota,ND,8,0-54,Floating,All,91,487085,73,18
2005,Heart Disease,Alaska,AK,10,0-54,Floating,All,111,557494,84,27
2005,Heart Disease,South Dakota,SD,8,0-54,Floating,All,117,587870,86,31
2005,Heart Disease,Montana,MT,8,0-54,Floating,All,158,699822,112,46
2005,Heart Disease,Delaware,DE,3,0-54,Floating,All,171,639944,96,75
2005,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,172,442285,61,111
2005,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,174,993879,163,11
2005,Heart Disease,Idaho,ID,10,0-54,Floating,All,185,1119878,155,32
2005,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,191,807453,123,68
2005,Heart Disease,Utah,UT,8,0-54,Floating,All,224,2056072,235,0
2005,Heart Disease,Maine,ME,1,0-54,Floating,All,227,966832,162,65
2005,Heart Disease,Hawaii,HI,9,0-54,Floating,All,238,973825,147,91
2005,Heart Disease,Nebraska,NE,7,0-54,Floating,All,249,1352924,197,52
2005,Heart Disease,New Mexico,NM,6,0-54,Floating,All,289,1487809,215,74
2005,Heart Disease,West Virginia,WV,3,0-54,Floating,All,439,1313607,212,227
2005,Heart Disease,Kansas,KS,7,0-54,Floating,All,464,2114694,309,155
2005,Heart Disease,Oregon,OR,10,0-54,Floating,All,476,2730362,418,58
2005,Heart Disease,Iowa,IA,7,0-54,Floating,All,505,2218467,333,172
2005,Heart Disease,Connecticut,CT,1,0-54,Floating,All,548,2648322,420,128
2005,Heart Disease,Colorado,CO,8,0-54,Floating,All,581,3704364,551,30
2005,Heart Disease,Minnesota,MN,5,0-54,Floating,All,603,3987415,600,10
2005,Heart Disease,Nevada,NV,9,0-54,Floating,All,629,1892098,271,358
2005,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,753,4247415,649,105
2005,Heart Disease,Arkansas,AR,6,0-54,Floating,All,789,2088351,301,488
2005,Heart Disease,Washington,WA,10,0-54,Floating,All,814,4868487,738,76
2005,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,860,4870155,750,110
2005,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,891,2702882,390,501
2005,Heart Disease,Arizona,AZ,9,0-54,Floating,All,894,4485551,610,284
2005,Heart Disease,Mississippi,MS,4,0-54,Floating,All,1015,2251842,318,697
2005,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1151,3253993,479,672
2005,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1184,3195955,479,705
2005,Heart Disease,Maryland,MD,3,0-54,Floating,All,1220,4356642,667,553
2005,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1311,3574940,514,797
2005,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,1352,6617170,1020,332
2005,Heart Disease,Missouri,MO,7,0-54,Floating,All,1381,4399398,654,727
2005,Heart Disease,Indiana,IN,5,0-54,Floating,All,1398,4853319,711,687
2005,Heart Disease,Virginia,VA,3,0-54,Floating,All,1452,5899549,888,564
2005,Heart Disease,Alabama,AL,4,0-54,Floating,All,1457,3463216,513,944
2005,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1727,4573670,680,1047
2005,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1832,6706769,984,848
2005,Heart Disease,Georgia,GA,4,0-54,Floating,All,2143,7181304,1010,1133
2005,Heart Disease,Michigan,MI,5,0-54,Floating,All,2220,7728811,1169,1051
2005,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2394,9188082,1447,947
2005,Heart Disease,Ohio,OH,5,0-54,Floating,All,2546,8706405,1327,1219
2005,Heart Disease,Illinois,IL,5,0-54,Floating,All,2707,9838434,1427,1280
2005,Heart Disease,New York,NY,2,0-54,Floating,All,2878,14620992,2185,693
2005,Heart Disease,Florida,FL,4,0-54,Floating,All,3237,12837334,1960,1277
2005,Heart Disease,Texas,TX,6,0-54,Floating,All,4137,18437383,2496,1641
2005,Heart Disease,California,CA,9,0-54,Floating,All,5167,28635797,3994,1173
2006,Heart Disease,Vermont,VT,1,0-54,Floating,All,87,461571,77,10
2006,Heart Disease,Wyoming,WY,8,0-54,Floating,All,89,397903,63,26
2006,Heart Disease,North Dakota,ND,8,0-54,Floating,All,104,487031,74,30
2006,Heart Disease,Alaska,AK,10,0-54,Floating,All,106,559949,85,21
2006,Heart Disease,South Dakota,SD,8,0-54,Floating,All,130,589873,88,42
2006,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,157,798802,124,33
2006,Heart Disease,Montana,MT,8,0-54,Floating,All,165,702856,113,52
2006,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,185,992460,166,19
2006,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,186,444870,61,125
2006,Heart Disease,Delaware,DE,3,0-54,Floating,All,196,645716,98,98
2006,Heart Disease,Idaho,ID,10,0-54,Floating,All,205,1144706,160,45
2006,Heart Disease,Maine,ME,1,0-54,Floating,All,224,960874,163,61
2006,Heart Disease,Hawaii,HI,9,0-54,Floating,All,233,980991,149,84
2006,Heart Disease,Utah,UT,8,0-54,Floating,All,235,2103969,243,0
2006,Heart Disease,Nebraska,NE,7,0-54,Floating,All,264,1354033,199,65
2006,Heart Disease,New Mexico,NM,6,0-54,Floating,All,290,1498217,220,70
2006,Heart Disease,Kansas,KS,7,0-54,Floating,All,442,2118065,312,130
2006,Heart Disease,West Virginia,WV,3,0-54,Floating,All,461,1308903,213,248
2006,Heart Disease,Connecticut,CT,1,0-54,Floating,All,468,2644939,427,41
2006,Heart Disease,Oregon,OR,10,0-54,Floating,All,475,2752327,423,57
2006,Heart Disease,Iowa,IA,7,0-54,Floating,All,482,2221084,337,145
2006,Heart Disease,Colorado,CO,8,0-54,Floating,All,589,3746633,563,32
2006,Heart Disease,Nevada,NV,9,0-54,Floating,All,612,1961197,282,330
2006,Heart Disease,Minnesota,MN,5,0-54,Floating,All,614,3996758,610,16
2006,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,782,4245474,658,124
2006,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,826,4850308,758,68
2006,Heart Disease,Washington,WA,10,0-54,Floating,All,829,4923533,753,76
2006,Heart Disease,Arkansas,AR,6,0-54,Floating,All,838,2110517,308,530
2006,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,895,2725772,397,498
2006,Heart Disease,Arizona,AZ,9,0-54,Floating,All,904,4615614,635,269
2006,Heart Disease,Mississippi,MS,4,0-54,Floating,All,1006,2238285,321,685
2006,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1144,3295015,491,653
2006,Heart Disease,Maryland,MD,3,0-54,Floating,All,1175,4362796,676,499
2006,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1235,3203469,487,748
2006,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,1301,6594778,1034,267
2006,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1307,3322986,492,815
2006,Heart Disease,Missouri,MO,7,0-54,Floating,All,1388,4417194,666,722
2006,Heart Disease,Indiana,IN,5,0-54,Floating,All,1405,4871005,723,682
2006,Heart Disease,Virginia,VA,3,0-54,Floating,All,1456,5947288,905,551
2006,Heart Disease,Alabama,AL,4,0-54,Floating,All,1556,3491589,524,1032
2006,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1724,4619581,696,1028
2006,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1837,6834356,1013,824
2006,Heart Disease,Georgia,GA,4,0-54,Floating,All,2128,7329990,1042,1086
2006,Heart Disease,Michigan,MI,5,0-54,Floating,All,2192,7657373,1177,1015
2006,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2222,9190809,1466,756
2006,Heart Disease,Illinois,IL,5,0-54,Floating,All,2410,9819435,1444,966
2006,Heart Disease,Ohio,OH,5,0-54,Floating,All,2414,8663700,1340,1074
2006,Heart Disease,New York,NY,2,0-54,Floating,All,3067,14532764,2204,863
2006,Heart Disease,Florida,FL,4,0-54,Floating,All,3120,13054348,2018,1102
2006,Heart Disease,Texas,TX,6,0-54,Floating,All,4205,18833242,2581,1624
2006,Heart Disease,California,CA,9,0-54,Floating,All,5212,28660744,4057,1155
2007,Heart Disease,Vermont,VT,1,0-54,Floating,All,71,457034,75,2
2007,Heart Disease,Alaska,AK,10,0-54,Floating,All,96,559015,83,13
2007,Heart Disease,Wyoming,WY,8,0-54,Floating,All,100,405452,62,38
2007,Heart Disease,South Dakota,SD,8,0-54,Floating,All,107,592484,86,21
2007,Heart Disease,North Dakota,ND,8,0-54,Floating,All,108,486369,71,37
2007,Heart Disease,Montana,MT,8,0-54,Floating,All,149,705210,110,39
2007,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,150,447274,59,91
2007,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,164,985763,162,5
2007,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,166,789771,121,45
2007,Heart Disease,Idaho,ID,10,0-54,Floating,All,195,1167114,158,40
2007,Heart Disease,Maine,ME,1,0-54,Floating,All,211,953993,159,52
2007,Heart Disease,Hawaii,HI,9,0-54,Floating,All,214,976765,145,69
2007,Heart Disease,Delaware,DE,3,0-54,Floating,All,218,651317,97,121
2007,Heart Disease,Utah,UT,8,0-54,Floating,All,248,2159630,243,8
2007,Heart Disease,Nebraska,NE,7,0-54,Floating,All,255,1354337,194,67
2007,Heart Disease,New Mexico,NM,6,0-54,Floating,All,262,1508386,216,46
2007,Heart Disease,Iowa,IA,7,0-54,Floating,All,464,2220118,328,136
2007,Heart Disease,West Virginia,WV,3,0-54,Floating,All,465,1303495,206,259
2007,Heart Disease,Oregon,OR,10,0-54,Floating,All,472,2771181,413,59
2007,Heart Disease,Kansas,KS,7,0-54,Floating,All,480,2123300,305,175
2007,Heart Disease,Connecticut,CT,1,0-54,Floating,All,506,2638216,417,89
2007,Heart Disease,Nevada,NV,9,0-54,Floating,All,551,2018259,283,268
2007,Heart Disease,Minnesota,MN,5,0-54,Floating,All,554,4003768,596,8
2007,Heart Disease,Colorado,CO,8,0-54,Floating,All,612,3785477,554,58
2007,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,788,4242064,643,145
2007,Heart Disease,Arkansas,AR,6,0-54,Floating,All,793,2121910,302,491
2007,Heart Disease,Washington,WA,10,0-54,Floating,All,845,4961056,739,106
2007,Heart Disease,Arizona,AZ,9,0-54,Floating,All,882,4704317,632,250
2007,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,898,4839200,741,157
2007,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,933,2747514,390,543
2007,Heart Disease,Mississippi,MS,4,0-54,Floating,All,1004,2246583,315,689
2007,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1050,3339577,485,565
2007,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1138,3215307,477,661
2007,Heart Disease,Maryland,MD,3,0-54,Floating,All,1163,4358747,661,502
2007,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,1180,6576625,1011,169
2007,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1253,3368190,484,769
2007,Heart Disease,Missouri,MO,7,0-54,Floating,All,1311,4428734,653,658
2007,Heart Disease,Alabama,AL,4,0-54,Floating,All,1346,3508695,514,832
2007,Heart Disease,Indiana,IN,5,0-54,Floating,All,1365,4880533,707,658
2007,Heart Disease,Virginia,VA,3,0-54,Floating,All,1429,5976623,889,540
2007,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1636,4663243,685,951
2007,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1859,6955472,1009,850
2007,Heart Disease,Georgia,GA,4,0-54,Floating,All,2069,7451514,1038,1031
2007,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2165,9181418,1428,737
2007,Heart Disease,Michigan,MI,5,0-54,Floating,All,2214,7563189,1140,1074
2007,Heart Disease,Ohio,OH,5,0-54,Floating,All,2363,8619662,1303,1060
2007,Heart Disease,Illinois,IL,5,0-54,Floating,All,2462,9810966,1412,1050
2007,Heart Disease,New York,NY,2,0-54,Floating,All,3099,14480918,2146,953
2007,Heart Disease,Florida,FL,4,0-54,Floating,All,3197,13142869,1989,1208
2007,Heart Disease,Texas,TX,6,0-54,Floating,All,4163,19143756,2566,1597
2007,Heart Disease,California,CA,9,0-54,Floating,All,4995,28684652,3978,1017
2008,Heart Disease,Vermont,VT,1,0-54,Floating,All,78,452482,74,5
2008,Heart Disease,North Dakota,ND,8,0-54,Floating,All,91,486672,71,20
2008,Heart Disease,South Dakota,SD,8,0-54,Floating,All,103,594398,86,17
2008,Heart Disease,Alaska,AK,10,0-54,Floating,All,108,559166,82,26
2008,Heart Disease,Wyoming,WY,8,0-54,Floating,All,114,411699,62,52
2008,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,136,782926,120,17
2008,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,148,451827,60,88
2008,Heart Disease,Montana,MT,8,0-54,Floating,All,153,707295,110,43
2008,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,165,977965,162,10
2008,Heart Disease,Idaho,ID,10,0-54,Floating,All,190,1182894,159,31
2008,Heart Disease,Maine,ME,1,0-54,Floating,All,190,946516,158,32
2008,Heart Disease,Delaware,DE,3,0-54,Floating,All,191,655381,98,93
2008,Heart Disease,Hawaii,HI,9,0-54,Floating,All,214,982249,145,69
2008,Heart Disease,Nebraska,NE,7,0-54,Floating,All,252,1357209,194,58
2008,Heart Disease,Utah,UT,8,0-54,Floating,All,257,2206772,248,9
2008,Heart Disease,New Mexico,NM,6,0-54,Floating,All,273,1512358,217,56
2008,Heart Disease,West Virginia,WV,3,0-54,Floating,All,418,1298499,204,214
2008,Heart Disease,Kansas,KS,7,0-54,Floating,All,428,2132628,305,123
2008,Heart Disease,Oregon,OR,10,0-54,Floating,All,462,2784088,411,51
2008,Heart Disease,Iowa,IA,7,0-54,Floating,All,491,2221840,327,164
2008,Heart Disease,Connecticut,CT,1,0-54,Floating,All,538,2636495,418,120
2008,Heart Disease,Nevada,NV,9,0-54,Floating,All,563,2051235,288,275
